Taxon,Genus,Tribe,Subfamily,Family,NCBITaxon,Order,Diet,Nesting,Foraging,DietMod,NestingMod,ForagingMod,DietModslashboth,DietModslashlower,DietModslashupper,DietModalllower,DietModallupper,DietModanyplant,DietModonlyplant,ForagingModalllower,ForagingModallupper,ForagingModanycanopy,NestingModalllower,NestingModallupper,NestingModanycanopy,DietModonlypred,DietModanypred,DietModonlyomni,DietModanyomni,ForagingModanyground,NestingModanyground
Leptomyrmex_mjobergi,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_mjobergi,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_niger,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_niger,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_nigriceps,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_nigriceps,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_nigriventris,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_nigriventris,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_pallens,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_pallens,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_puberulus,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_puberulus,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_rothneyi,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_rothneyi,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_ruficeps,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_ruficeps,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_rufipes,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_rufipes,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_rufithorax,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_rufithorax,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_tibialis,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_tibialis,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_unicolor,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_unicolor,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_varians,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_varians,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_wiburdi,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_wiburdi,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Linepithema_anathema,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_anathema,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Linepithema_angulatum,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_angulatum,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Linepithema_aztecoides,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_aztecoides,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Linepithema_cerradense,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_cerradense,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Linepithema_cryptobioticum,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_cryptobioticum,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Linepithema_dispertitum,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_dispertitum,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Linepithema_gallardoi,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_gallardoi,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Linepithema_humile,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_humile,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Linepithema_iniquum,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_iniquum,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Linepithema_keiteli,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_keiteli,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Linepithema_micans,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_micans,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Linepithema_neotropicum,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_neotropicum,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Linepithema_oblongum,Linepithema,Linepithema,Dolichoderinae,Formicidae,Linepithema_oblongum,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
